FECHA,HORA,Unnamed: 2,Unnamed: 3,HORA (HHMM),Unnamed: 2,Unnamed: 3,HORA (HHMM),Registros validados,Registros preliminares,Registros no validados
180731,,,,0.0,"3,68236",,0.0,23.0,,
180801,,,,0.0,"3,97893",,0.0,84.0,,
180802,,,,0.0,"-0,540622",,0.0,206.0,,
180803,,,,0.0,"4,1342",,0.0,34.0,,
180804,,,,0.0,"5,28246",,0.0,51.0,,
180805,,,,0.0,"5,79122",,0.0,38.0,,
180806,,,,0.0,"6,39635",,0.0,90.0,,
180807,,,,0.0,"1,543",,0.0,76.0,,
180808,,,,0.0,"3,5763",,0.0,147.0,,
180809,,,,0.0,"3,9233",,0.0,132.0,,
180810,,,,0.0,"2,94436",,0.0,133.0,,
180811,,,,0.0,"-0,00616668",,0.0,217.0,,
180812,,,,0.0,"1,64855",,0.0,177.0,,
180813,,,,0.0,"2,37533",,0.0,83.0,,
180814,,,,0.0,"4,27071",,0.0,29.0,,
180815,,,,0.0,"5,86073",,0.0,26.0,,
180816,,,,0.0,"8,00079",,0.0,31.0,,
180817,,,,0.0,"6,3955",,0.0,48.0,,
180818,,,,0.0,"-0,0268339",,0.0,51.0,,
180819,,,,0.0,"0,986264",,0.0,43.0,,
180820,,,,0.0,"1,46326",,0.0,107.0,,
180821,,,,0.0,"4,3382",,0.0,93.0,,
180822,,,,0.0,"2,43192",,0.0,99.0,,
180823,,,,0.0,"3,6046",,0.0,32.0,,
180824,,,,0.0,"0,987764",,0.0,48.0,,
180825,,,,0.0,"3,34795",,0.0,46.0,,
180826,,,,0.0,"6,92585",,0.0,26.0,,
180827,,,,0.0,"6,54737",,0.0,25.0,,
180828,,,,0.0,"4,62563",,0.0,55.0,,
180829,,,,0.0,"-0,946099",,0.0,60.0,,
180830,,,,0.0,"1,14809",,0.0,134.0,,
180831,,,,0.0,"-1,06001",,0.0,218.0,,
180901,,,,0.0,"-0,906187",,0.0,75.0,,
180902,,,,0.0,"1,76246",,0.0,30.0,,
180903,,,,0.0,"2,97781",,0.0,70.0,,
180904,,,,0.0,"1,3419",,0.0,,,
180905,,,,0.0,"4,31852",,0.0,91.0,,
180906,,,,0.0,"4,51062",,0.0,26.0,,
180907,,,,0.0,"3,70994",,0.0,27.0,,
180908,,,,0.0,"3,97706",,0.0,30.0,,
180909,,,,0.0,"5,46664",,0.0,60.0,,
180910,,,,0.0,"2,77368",,0.0,55.0,,
180911,,,,0.0,"6,52924",,0.0,24.0,,
180912,,,,0.0,"5,06357",,0.0,18.0,,
180913,,,,0.0,"6,32298",,0.0,15.0,,
