FECHA (YYMMDD),HORA (HHMM),Unnamed: 2,Unnamed: 3
211219,1400,"21,22",
211219,1500,"21,6667",
211219,1600,"21,8967",
211219,1700,"21,6575",
211219,1800,"20,675",
211219,1900,"19,3825",
211219,2000,,
211219,2100,,
211219,2200,"14,6575",
211219,2300,"13,8392",
211220,0,"13,2792",
211220,100,"12,5683",
211220,200,"11,9358",
211220,300,"11,2533",
211220,400,"10,6758",
211220,500,"10,5558",
211220,600,"12,04",
211220,700,"13,6725",
211220,800,"15,4767",
211220,900,"17,5808",
211220,1000,"19,75",
211220,1100,"21,4867",
211220,1200,"21,965",
211220,1300,"22,5283",
211220,1400,"22,7583",
211220,1500,"21,58",
211220,1600,"20,75",
211220,1700,"19,755",
211220,1800,"19,5992",
211220,1900,"18,6",
211220,2000,"16,5925",
211220,2100,"15,475",
211220,2200,"14,9725",
211220,2300,"13,9433",
211221,0,"12,8033",
211221,100,"12,2375",
211221,200,"11,7517",
211221,300,"10,3508",
211221,400,"10,2508",
211221,500,"9,94167",
211221,600,"11,4558",
211221,700,"12,7917",
211221,800,"14,5708",
211221,900,"16,0317",
211221,1000,"17,7717",
211221,1100,"19,4025",
211221,1200,"20,9567",
211221,1300,"21,8825",
211221,1400,"21,8292",
211221,1500,"23,065",
211221,1600,"22,8933",
211221,1700,"22,1725",
211221,1800,"21,6708",
211221,1900,"20,5775",
211221,2000,"18,1225",
211221,2100,"16,8575",
211221,2200,"16,0458",
211221,2300,"15,3633",
211222,0,"14,7925",
211222,100,"13,9092",
211222,200,"13,1267",
211222,300,"12,7875",
211222,400,"11,855",
211222,500,"9,94",
211222,600,"12,03",
211222,700,"14,8225",
211222,800,"16,1408",
211222,900,"18,1",
211222,1000,"20,6608",
211222,1100,"23,5333",
211222,1200,"25,9158",
211222,1300,"27,595",
211222,1400,"29,5025",
211222,1500,"30,6233",
211222,1600,"31,13",
211222,1700,"30,99",
211222,1800,"30,6225",
211222,1900,"29,0683",
211222,2000,"25,3133",
211222,2100,"23,3683",
211222,2200,"21,4075",
211222,2300,"20,585",
211223,0,"19,4667",
211223,100,"17,5375",
211223,200,"15,9933",
211223,300,"16,3692",
211223,400,"15,53",
211223,500,"15,4842",
211223,600,"16,5658",
211223,700,"18,1942",
211223,800,"19,9983",
211223,900,"21,1975",
211223,1000,"21,5725",
211223,1100,"21,9375",
211223,1200,"22,54",
211223,1300,"22,5133",
211223,1400,"22,5275",
211223,1500,"22,5533",
211223,1600,"21,7583",
211223,1700,"21,265",
211223,1800,"19,7692",
211223,1900,"18,0025",
211223,2000,"16,4392",
211223,2100,"15,6725",
211223,2200,"15,045",
211223,2300,"14,4142",
211224,0,"13,9475",
211224,100,"13,2692",
211224,200,"12,675",
211224,300,"12,2542",
211224,400,"11,9408",
211224,500,"11,9683",
211224,600,"13,0825",
211224,700,"14,7192",
211224,800,"15,6658",
211224,900,"15,945",
211224,1000,"17,94",
211224,1100,"19,2308",
211224,1200,"19,04",
211224,1300,"19,4792",
211224,1400,"17,9625",
211224,1500,"19,0725",
211224,1600,"18,2492",
211224,1700,"18,9667",
211224,1800,"18,8292",
211224,1900,"16,6958",
211224,2000,"14,8025",
211224,2100,"14,2475",
211224,2200,"14,2933",
211224,2300,"13,9692",
211225,0,"13,8875",
211225,100,"13,9467",
211225,200,"13,6925",
211225,300,"13,6133",
211225,400,"13,2133",
211225,500,"13,7233",
211225,600,"13,92",
211225,700,"14,6542",
211225,800,"15,7425",
211225,900,"16,7942",
211225,1000,"17,9708",
211225,1100,"19,2033",
211225,1200,"20,4308",
211225,1300,"20,8075",
211225,1400,"20,9967",
211225,1500,"21,4575",
211225,1600,"21,5967",
211225,1700,"20,9758",
211225,1800,"20,4925",
211225,1900,"18,7792",
211225,2000,"16,765",
211225,2100,"15,6842",
211225,2200,"14,95",
211225,2300,"14,1358",
211226,0,"13,3708",
211226,100,"12,4133",
211226,200,"12,1275",
211226,300,"11,6517",
211226,400,"11,6825",
211226,500,"11,6733",
211226,600,"13,2508",
211226,700,"14,555",
211226,800,"15,9317",
211226,900,"16,6225",
211226,1000,"16,9",
211226,1100,"18,7633",
211226,1200,"19,295",
211226,1300,"20,3967",
211226,1400,"20,835",
211226,1500,"20,3833",
211226,1600,"20,0733",
211226,1700,"18,55",
211226,1800,"18,1992",
211226,1900,"16,8825",
211226,2000,"15,9567",
211226,2100,"15,6233",
211226,2200,"14,8167",
211226,2300,"15,3508",
211227,0,"15,5308",
211227,100,"15,1867",
211227,200,"15,5158",
211227,300,"15,695",
211227,400,"14,6133",
211227,500,"14,3292",
211227,600,"14,31",
211227,700,"15,8358",
211227,800,"17,5258",
211227,900,"17,5473",
211227,1000,"17,9483",
211227,1100,"18,3875",
211227,1200,"18,82",
211227,1300,"18,9683",
211227,1400,"19,025",
211227,1500,"19,275",
211227,1600,"19,0367",
211227,1700,"18,6408",
211227,1800,"17,9458",
211227,1900,"16,3883",
211227,2000,"14,4058",
211227,2100,"13,4108",
211227,2200,"12,5858",
211227,2300,"11,9342",
211228,0,"11,5983",
211228,100,"10,8233",
211228,200,"9,84167",
211228,300,"9,30083",
211228,400,"9,1125",
211228,500,"8,84",
211228,600,"10,7933",
211228,700,"12,4783",
211228,800,"13,51",
211228,900,"15,2017",
211228,1000,"16,4392",
211228,1100,"17,84",
211228,1200,"18,5925",
211228,1300,"19,6125",
211228,1400,"20,5375",
211228,1500,"21,195",
211228,1600,"20,9492",
211228,1700,"20,1192",
211228,1800,"20,1483",
211228,1900,"19,3142",
211228,2000,"17,5017",
211228,2100,"16,3567",
211228,2200,"16,0167",
211228,2300,"15,4342",
