FECHA (YYMMDD);HORA (HHMM);;
240515;0600;-4,7625;
240515;0700;-5,36967;
240515;0800;-4,23434;
240515;0900;-2,03233;
240515;1000;0,0720834;
240515;1100;1,35042;
240515;1200;3,84583;
240515;1300;5,02817;
240515;1400;6,73358;
240515;1500;7,61942;
240515;1600;7,04033;
240515;1700;5,19792;
240515;1800;3,14425;
240515;1900;1,61608;
240515;2000;0,709083;
240515;2100;0,37375;
240515;2200;-0,0460834;
240515;2300;-0,439167;
240516;0000;-0,789667;
240516;0100;1,66717;
240516;0200;-0,12225;
240516;0300;-1,65108;
240516;0400;-1,15367;
240516;0500;1,45917;
240516;0600;2,42983;
240516;0700;0,269083;
240516;0800;0,122583;
240516;0900;2,32858;
240516;1000;5,94592;
240516;1100;7,30268;
240516;1200;8,83749;
240516;1300;9,54584;
240516;1400;9,80667;
240516;1500;10,12;
240516;1600;8,638;
240516;1700;6,38292;
240516;1800;5,11733;
240516;1900;4,56942;
240516;2000;3,29508;
240516;2100;1,30217;
240516;2200;0,527417;
240516;2300;-0,00208329;
240517;0000;-0,304251;
240517;0100;-0,842418;
240517;0200;-1,16133;
240517;0300;-1,68233;
240517;0400;-2,23243;
240517;0500;-2,32767;
240517;0600;-2,52275;
240517;0700;-3,11483;
240517;0800;-2,80925;
240517;0900;-2,30108;
240517;1000;-1,43125;
240517;1100;-0,49725;
240517;1200;0,444917;
240517;1300;0,895917;
240517;1400;1,36342;
240517;1500;1,02658;
240517;1600;0,805417;
240517;1700;0,15925;
240517;1800;-0,510833;
240517;1900;-1,1185;
240517;2000;-1,33392;
240517;2100;-1,71333;
240517;2200;-2,08208;
240517;2300;-2,58858;
240518;0000;-3,15067;
240518;0100;-3,40408;
240518;0200;-3,60925;
240518;0300;-3,96275;
240518;0400;-4,45408;
240518;0500;-4,88742;
240518;0600;-4,99709;
240518;0700;-5,6515;
240518;0800;-5,3775;
240518;0900;-3,13417;
240518;1000;-1,92608;
240518;1100;-0,0972499;
240518;1200;2,33917;
240518;1300;3,751;
240518;1400;6,64508;
240518;1500;7,41708;
240518;1600;7,35701;
240518;1700;5,51168;
240518;1800;4,51784;
240518;1900;5,21309;
240518;2000;4,83234;
240518;2100;4,55334;
240518;2200;4,01459;
240518;2300;3,56976;
240519;0000;3,24809;
240519;0100;3,42533;
240519;0200;4,53984;
240519;0300;2,82583;
240519;0400;1,58025;
240519;0500;1,87283;
240519;0600;1,87742;
240519;0700;2,08983;
240519;0800;1,97375;
240519;0900;2,80108;
240519;1000;4,7295;
240519;1100;5,28225;
240519;1200;6,57508;
240519;1300;6,86608;
240519;1400;7,15942;
240519;1500;8,17149;
240519;1600;7,05017;
240519;1700;6,08983;
240519;1800;5,5365;
240519;1900;5,12825;
240519;2000;4,57292;
240519;2100;3,70842;
240519;2200;3,51833;
240519;2300;2,8985;
240520;0000;1,92383;
240520;0100;1,62508;
240520;0200;1,71642;
240520;0300;1,86567;
240520;0400;0,133583;
240520;0500;-0,734583;
240520;0600;-0,890167;
240520;0700;-1,58867;
240520;0800;-1,42817;
240520;0900;0,4675;
240520;1000;2,24008;
240520;1100;3,91742;
240520;1200;5,44025;
240520;1300;6,393;
240520;1400;6,31075;
240520;1500;6,79658;
240520;1600;6,52158;
240520;1700;5,19767;
240520;1800;4,4345;
240520;1900;4,17683;
240520;2000;3,7475;
240520;2100;3,80842;
240520;2200;3,80242;
240520;2300;3,36508;
240521;0000;3,36492;
240521;0100;2,95792;
240521;0200;3,023;
240521;0300;2,40617;
240521;0400;1,7895;
240521;0500;2,25842;
240521;0600;2,65925;
240521;0700;1,92133;
240521;0800;3,15792;
240521;0900;5,55983;
240521;1000;7,1645;
240521;1100;7,77392;
240521;1200;8,28333;
240521;1300;8,17168;
240521;1400;8,02008;
240521;1500;7,54542;
240521;1600;6,64567;
240521;1700;5,737;
240521;1800;5,54058;
240521;1900;5,42383;
240521;2000;4,95583;
240521;2100;4,62783;
240521;2200;4,44567;
240521;2300;4,52225;
240522;0000;4,62901;
240522;0100;4,46851;
240522;0200;4,42134;
240522;0300;4,26668;
240522;0400;4,29758;
240522;0500;4,20301;
240522;0600;4,11634;
240522;0700;4,03618;
240522;0800;4,08918;
240522;0900;5,59458;
240522;1000;6,29275;
240522;1100;7,264;
240522;1200;7,51692;
240522;1300;6,68875;
240522;1400;7,41483;
240522;1500;6,5465;
240522;1600;5,37533;
240522;1700;4,08158;
240522;1800;3,44167;
240522;1900;2,89717;
240522;2000;2,49658;
240522;2100;2,22933;
240522;2200;1,87417;
240522;2300;2,08017;
240523;0000;1,4995;
240523;0100;1,28692;
240523;0200;0,87625;
240523;0300;0,719333;
240523;0400;0,894667;
240523;0500;1,12133;
240523;0600;0,682916;
240523;0700;0,35325;
240523;0800;0,279167;
240523;0900;1,56467;
240523;1000;2,44067;
240523;1100;2,62117;
240523;1200;3,31208;
240523;1300;3,88508;
240523;1400;4,286;
240523;1500;4,66;
240523;1600;4,20025;
240523;1700;2,48225;
240523;1800;0,524;
240523;1900;-0,528333;
240523;2000;-1,64983;
240523;2100;-2,1135;
240523;2200;-2,72775;
240523;2300;-3,22492;
240524;0000;-3,74583;
240524;0100;-4,04375;
240524;0200;-4,62508;
240524;0300;-5,14567;
240524;0400;-5,48375;
240524;0500;-5,896;
240524;0600;-6,2965;
240524;0700;-6,24983;
240524;0800;-6,06783;
240524;0900;-4,6135;
240524;1000;-2,80225;
240524;1100;-0,956333;
240524;1200;0,55075;
240524;1300;1,67758;
240524;1400;2,64083;
240524;1500;3,34067;
240524;1600;3,03258;
